name,url,url status,api_endpoint,api status
Recreation,https://capmanagementllc.partner.socrata.com/stories/s/a3ma-pu2w,200,, 
4.13 Injury Month Day Friday,https://capmanagementllc.partner.socrata.com/d/iyuu-ihjd,200,https://capmanagementllc.partner.socrata.com/resource/iyuu-ihjd.json,200
4.13 Fatal Month Day Thursday,https://capmanagementllc.partner.socrata.com/d/bznn-vghq,200,https://capmanagementllc.partner.socrata.com/resource/bznn-vghq.json,200
4.13 Fatal Month Day Sunday,https://capmanagementllc.partner.socrata.com/d/36ig-3vsu,200,https://capmanagementllc.partner.socrata.com/resource/36ig-3vsu.json,200
CA Other Motor Vehicle,https://capmanagementllc.partner.socrata.com/d/wvd5-txkf,200,https://capmanagementllc.partner.socrata.com/resource/wvd5-txkf.json,200
5.14 HIGHWAY-RAIL TABLE BY RAILROAD,https://capmanagementllc.partner.socrata.com/d/7yqi-p5vs,200,https://capmanagementllc.partner.socrata.com/resource/7yqi-p5vs.json,200
CA Pick Up Truck,https://capmanagementllc.partner.socrata.com/d/r738-6xan,,https://capmanagementllc.partner.socrata.com/resource/r738-6xan.json,
5.15 Story - Consolidated Hwy Rail Accident Incident,https://capmanagementllc.partner.socrata.com/stories/s/25cw-bsc9/preview,,,
CA Truck 19-22,https://capmanagementllc.partner.socrata.com/d/k7hi-rvbi,,https://capmanagementllc.partner.socrata.com/resource/k7hi-rvbi.json,
CA Other 19-22,https://capmanagementllc.partner.socrata.com/d/du9n-xq4g,,https://capmanagementllc.partner.socrata.com/resource/du9n-xq4g.json,
TEST EXAMPLE FOR COUNTY MP,https://capmanagementllc.partner.socrata.com/view/qnn2-6qe4,,,
View based on Form 55a (Master) team 1,https://capmanagementllc.partner.socrata.com/d/qw8h-954v,,https://capmanagementllc.partner.socrata.com/resource/qw8h-954v.json,
GDX test 3,https://capmanagementllc.partner.socrata.com/d/hrzr-wem3,,https://capmanagementllc.partner.socrata.com/resource/hrzr-wem3.json,
Narn3,https://capmanagementllc.partner.socrata.com/d/v6zq-n56w,,https://capmanagementllc.partner.socrata.com/resource/v6zq-n56w.json,
